Taxon,Group,FAD,LAD,Age,Neck,Trunk,Neck_ratio
Seelyosaurus_guilelmiimperatori,Microcleididae,182.7,178.24,180.47,135,84,1.61
Serpianosaurus_mirigiolensis,Pachypleurosauria,242.57,240.3,241.435,9.2,14.9,0.62
Sinocyamodus_xinpuensis,Placodontia,233.5,228.35,230.925,10,39,0.26
Styxosaurus_sp,Elasmosauridae,83.64,80.97,82.305,580,210,2.76
Thalassiodracon_hawkinsii,Pliosauridae_basal,201.3,201.1,201.2,60.2,40.4,1.49
Thalassomedon_haningtoni,Elasmosauridae,100.5,93.9,97.2,609,308,1.98
Trinacromerum_bentonianum,Polycotilidae,93.9,91.41,92.655,80,155,0.52
Wangosaurus_brevirostris,Pistosauroidea,242,235,238.5,85,56.4,1.51
Wumengosaurus_delicatomandibularis,Eosauropterygia_basal,244.94,243.99,244.465,14,29.05,0.48
Yunguisaurus_liae,Pistosauroidea,237,235.39,236.195,101.6,69.3,1.45
