Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	79	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Cyamodus_orientalis,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Glyphoderma_kangi,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Henodus_chelyops,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Paraplacodus_broilii,Peloneustes_philarchus,Placodus_gigas,Placodus_inexpectatus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Psephochelys_polyosteoderma,Psephoderma_alpinum,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Sinocyamodus_xinpuensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
1	9	5.380000	1711	8.555000	1.121989	1.007107	1.000000	1.856346	0.026426	0.019431	0.021592	0.047197	0.127213	0.110910	0.118460	0.053624	0.142169	0.104541	0.116165	0.253919	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Paraplacodus_broilii,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
2	1	9.671780	1735	8.675000	1.055163	0.993338	1.000000	1.265058	0.024861	0.020326	0.021587	0.032162	0.228695	0.199386	0.212958	0.096401	0.240447	0.196590	0.208785	0.311068	Paraplacodus_broilii	
3	8	1.048000	3018	15.090000	1.039897	0.990522	1.000000	1.605451	0.024456	0.020720	0.021028	0.040773	0.024781	0.021605	0.023075	0.010446	0.025630	0.021715	0.022037	0.042730	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
4	2	1.524000	3500	17.500000	1.133844	1.024405	1.000000	1.844201	0.026731	0.020466	0.021125	0.047072	0.036036	0.031418	0.033556	0.015190	0.040738	0.031191	0.032195	0.071738	Placodus_gigas,Placodus_inexpectatus	
5	1	3.442867	3328	16.640000	1.015981	1.015697	1.000000	1.331780	0.024001	0.020066	0.021037	0.034902	0.081409	0.070975	0.075807	0.034316	0.082632	0.069085	0.072428	0.120162	Placodus_gigas	
6	1	2.520075	3377	16.885000	1.053628	1.008835	1.000000	1.579663	0.024868	0.021005	0.021069	0.041076	0.059589	0.051952	0.055488	0.025118	0.062668	0.052934	0.053094	0.103514	Placodus_inexpectatus	
7	6	7.753000	3123	15.615000	0.913068	1.008665	1.000000	0.773379	0.021469	0.020359	0.020847	0.020175	0.183324	0.159830	0.170709	0.077276	0.166446	0.157842	0.161627	0.156420	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
8	2	0.925000	3654	18.270000	1.045229	0.989564	1.000000	1.604139	0.024461	0.019938	0.020961	0.038886	0.021872	0.019069	0.020367	0.009220	0.022627	0.018443	0.019389	0.035970	Cyamodus_orientalis,Sinocyamodus_xinpuensis	
9	1	8.731549	3577	17.885000	0.997276	0.934335	1.000000	2.605528	0.023824	0.014435	0.020897	0.123335	0.206463	0.180003	0.192256	0.087030	0.208022	0.126044	0.182468	1.076907	Cyamodus_orientalis	
10	1	3.910320	3600	18.000000	1.009349	0.988867	1.000000	1.477534	0.023703	0.020183	0.020909	0.035697	0.092462	0.080612	0.086099	0.038975	0.092686	0.078921	0.081761	0.139588	Sinocyamodus_xinpuensis	
