Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	79	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Cyamodus_orientalis,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Glyphoderma_kangi,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Henodus_chelyops,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Paraplacodus_broilii,Peloneustes_philarchus,Placodus_gigas,Placodus_inexpectatus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Psephochelys_polyosteoderma,Psephoderma_alpinum,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Sinocyamodus_xinpuensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
1	9	1.505000	1368	6.840000	1.099049	0.986206	1.000000	1.586290	0.018850	0.013398	0.015345	0.032028	0.025791	0.021031	0.023382	0.012496	0.028369	0.020164	0.023093	0.048203	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Paraplacodus_broilii,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
2	1	12.052095	1412	7.060000	1.073194	0.988962	1.000000	1.274435	0.018430	0.013935	0.015342	0.026534	0.206537	0.168416	0.187247	0.100065	0.222120	0.167948	0.184903	0.319792	Paraplacodus_broilii	
3	8	0.999000	2251	11.255000	1.092534	0.985061	1.000000	1.740673	0.019026	0.013386	0.015085	0.062563	0.017120	0.013960	0.015521	0.008294	0.019007	0.013373	0.015070	0.062501	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
4	2	3.514000	2750	13.750000	1.155039	1.022666	1.000000	1.796561	0.019763	0.014122	0.015156	0.033754	0.060219	0.049105	0.054595	0.029176	0.069448	0.049623	0.053260	0.118612	Placodus_gigas,Placodus_inexpectatus	
5	1	11.417003	2608	13.040000	1.065473	1.025103	1.000000	1.381683	0.018288	0.013514	0.015098	0.027162	0.195653	0.159541	0.177380	0.094792	0.208793	0.154288	0.172374	0.310112	Placodus_gigas	
6	1	9.276035	2646	13.230000	1.092452	1.012263	1.000000	1.558254	0.018724	0.014090	0.015131	0.030333	0.158963	0.129623	0.144117	0.077016	0.173685	0.130695	0.140360	0.281371	Placodus_inexpectatus	
7	6	5.486000	2294	11.470000	0.968181	1.016327	1.000000	0.854816	0.016577	0.014116	0.014996	0.017337	0.094013	0.076661	0.085233	0.045549	0.090942	0.077438	0.082271	0.095113	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
8	2	1.634000	2818	14.090000	1.099614	0.994956	1.000000	1.693830	0.018724	0.013586	0.015036	0.030355	0.028002	0.022834	0.025387	0.013567	0.030595	0.022200	0.024568	0.049601	Cyamodus_orientalis,Sinocyamodus_xinpuensis	
9	1	20.268454	2759	13.795000	1.019884	0.989566	1.000000	1.272867	0.017564	0.013866	0.014987	0.027312	0.347340	0.283232	0.314901	0.168283	0.355993	0.281042	0.303763	0.553581	Cyamodus_orientalis	
10	1	18.691428	2723	13.615000	1.020694	1.005573	1.000000	1.238810	0.017474	0.013568	0.015006	0.023900	0.320315	0.261194	0.290399	0.155190	0.326621	0.253599	0.280493	0.446731	Sinocyamodus_xinpuensis	
11	4	0.414000	2572	12.860000	1.045705	1.011561	1.000000	1.462173	0.017998	0.014096	0.015023	0.032365	0.007095	0.005785	0.006432	0.003437	0.007451	0.005836	0.006219	0.013399	Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum	
12	1	17.524199	2509	12.545000	0.987091	0.998289	1.000000	1.059915	0.016874	0.013939	0.014985	0.020914	0.300312	0.244883	0.272265	0.145498	0.295710	0.244262	0.262609	0.366499	Henodus_chelyops	
13	3	9.319000	2848	14.240000	1.045637	1.012812	1.000000	1.433362	0.017862	0.013745	0.015042	0.026211	0.159700	0.130224	0.144785	0.077373	0.166452	0.128086	0.140176	0.244261	Glyphoderma_kangi,Psephochelys_polyosteoderma,Psephoderma_alpinum	
14	1	6.543433	2808	14.040000	1.036315	1.022264	1.000000	1.471070	0.017663	0.013845	0.015019	0.025422	0.112135	0.091438	0.101662	0.054328	0.115576	0.090594	0.098279	0.166349	Glyphoderma_kangi	
15	2	1.488000	3704	18.520000	1.333236	0.974209	1.000000	2.471450	0.022702	0.014489	0.015267	0.044338	0.025500	0.020793	0.023118	0.012354	0.033781	0.021560	0.022718	0.065975	Psephochelys_polyosteoderma,Psephoderma_alpinum	
16	1	3.144899	3626	18.130000	1.305095	0.856161	1.000000	3.537794	0.022156	0.015248	0.015238	0.060575	0.053894	0.043947	0.048861	0.026111	0.069680	0.047953	0.047920	0.190502	Psephochelys_polyosteoderma	
17	1	29.313431	3328	16.640000	1.133208	1.028265	1.000000	3.092765	0.019418	0.013703	0.015071	0.066950	0.502344	0.409626	0.455428	0.243381	0.569221	0.401680	0.441768	1.962532	Psephoderma_alpinum	
18	70	5.399000	17812	89.060000	24.486150	22.418437	23.517542	14.678772	0.414709	0.314811	0.363837	0.337751	0.092523	0.075446	0.083882	0.044826	2.239014	1.699664	1.964357	1.823515	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Peloneustes_philarchus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
19	19	0.883000	17900	89.500000	26.048250	23.121418	23.585857	36.495344	0.441372	0.316392	0.365413	0.623994	0.015132	0.012339	0.013719	0.007331	0.389732	0.279374	0.322660	0.550987	Ceresiosaurus_calcagnii,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Keichousaurus_hui,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Qianxisaurus_chajiangensis,Serpianosaurus_mirigiolensis,Wumengosaurus_delicatomandibularis	
20	1	7.407661	17902	89.510000	26.112938	22.138345	23.566682	28.505889	0.441410	0.312969	0.365111	0.540686	0.126945	0.103515	0.115089	0.061504	3.269816	2.318370	2.704621	4.005216	Wumengosaurus_delicatomandibularis	
