Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	79	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Cyamodus_orientalis,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Glyphoderma_kangi,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Henodus_chelyops,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Paraplacodus_broilii,Peloneustes_philarchus,Placodus_gigas,Placodus_inexpectatus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Psephochelys_polyosteoderma,Psephoderma_alpinum,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Sinocyamodus_xinpuensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
1	9	2.395000	1434	7.170000	1.623858	0.968733	1.000000	3.670120	0.039093	0.016389	0.021400	0.111782	0.057337	0.045036	0.050768	0.056571	0.093627	0.039251	0.051254	0.267717	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Paraplacodus_broilii,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
2	1	5.392948	918	4.590000	1.106462	1.003711	1.000000	1.233874	0.026640	0.019565	0.021150	0.044991	0.129110	0.101410	0.114317	0.127384	0.143670	0.105513	0.114058	0.242637	Paraplacodus_broilii	
3	8	1.199000	7177	35.885000	1.033398	0.998275	1.000000	2.619535	0.024565	0.000719	0.018250	0.068430	0.028705	0.022546	0.025416	0.028321	0.029454	0.000862	0.021881	0.082048	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
4	2	0.034000	7379	36.895000	0.998143	1.008027	1.000000	2.370251	0.024142	0.000943	0.018234	0.070061	0.000814	0.000639	0.000721	0.000803	0.000821	0.000032	0.000620	0.002382	Placodus_gigas,Placodus_inexpectatus	
5	1	4.076930	7238	36.190000	0.879172	1.021344	1.000000	1.841571	0.021049	0.000751	0.018159	0.051205	0.097604	0.076663	0.086421	0.096299	0.085815	0.003064	0.074031	0.208758	Placodus_gigas	
6	1	1.376172	7435	37.175000	0.999590	1.021005	1.000000	2.510603	0.023799	0.001267	0.018252	0.063887	0.032946	0.025878	0.029171	0.032506	0.032752	0.001744	0.025117	0.087920	Placodus_inexpectatus	
7	6	3.592000	8078	40.390000	0.662030	1.007352	1.000000	0.884475	0.015867	0.000997	0.016996	0.029087	0.085994	0.067544	0.076141	0.084845	0.056994	0.003582	0.061048	0.104482	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
8	2	3.449000	8408	42.040000	0.719695	1.015848	1.000000	1.238988	0.017248	0.000943	0.016990	0.036746	0.082571	0.064855	0.073110	0.081467	0.059489	0.003253	0.058599	0.126735	Cyamodus_orientalis,Sinocyamodus_xinpuensis	
9	1	10.007506	8362	41.810000	0.686017	0.999148	1.000000	0.932452	0.016406	0.000963	0.016955	0.029223	0.239584	0.188182	0.212134	0.236383	0.164181	0.009636	0.169682	0.292450	Cyamodus_orientalis	
10	1	9.633982	8376	41.880000	0.708964	1.014080	1.000000	1.166369	0.016957	0.000948	0.016982	0.033935	0.230642	0.181158	0.204216	0.227560	0.163360	0.009131	0.163604	0.326929	Sinocyamodus_xinpuensis	
11	4	4.670000	8219	41.095000	0.655936	1.000146	1.000000	0.804742	0.015705	0.000995	0.016935	0.030001	0.111802	0.087815	0.098992	0.110308	0.073344	0.004648	0.079086	0.140107	Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum	
12	1	5.699552	8286	41.430000	0.679147	0.999682	1.000000	0.998218	0.016263	0.000985	0.016938	0.030869	0.136450	0.107175	0.120816	0.134626	0.092694	0.005614	0.096536	0.175942	Henodus_chelyops	
13	3	1.180000	8548	42.740000	0.724524	1.060269	1.000000	1.640183	0.017210	0.000109	0.016925	0.040167	0.028250	0.022189	0.025013	0.027872	0.020308	0.000128	0.019971	0.047397	Glyphoderma_kangi,Psephochelys_polyosteoderma,Psephoderma_alpinum	
14	1	2.921625	8494	42.470000	0.687620	0.973771	1.000000	1.156106	0.016452	0.000990	0.016868	0.033870	0.069945	0.054939	0.061931	0.069010	0.048068	0.002893	0.049282	0.098955	Glyphoderma_kangi	
15	2	4.230000	8896	44.480000	0.777563	1.016244	1.000000	1.572454	0.018474	0.000920	0.016913	0.043071	0.101268	0.079541	0.089665	0.099915	0.078145	0.003892	0.071544	0.182192	Psephochelys_polyosteoderma,Psephoderma_alpinum	
16	1	4.248422	8867	44.335000	0.774862	1.044336	1.000000	2.019143	0.018543	-0.000267	0.016903	0.053469	0.101709	0.079888	0.090056	0.100350	0.078779	-0.001134	0.071809	0.227159	Psephochelys_polyosteoderma	
