Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	79	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Cyamodus_orientalis,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Glyphoderma_kangi,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Henodus_chelyops,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Paraplacodus_broilii,Peloneustes_philarchus,Placodus_gigas,Placodus_inexpectatus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Psephochelys_polyosteoderma,Psephoderma_alpinum,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Sinocyamodus_xinpuensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
1	9	12.528000	243	1.215000	1.016104	0.995168	1.000000	0.286238	99.014437	99.922959	98.186920	28.120202	1220.777054	1247.010526	1229.920734	30.403560	1240.452867	1251.834825	1230.085734	352.289897	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Paraplacodus_broilii,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
2	1	8.189626	601	3.005000	1.105301	0.990441	1.000000	0.943995	107.710114	98.750257	98.229486	92.307197	798.029015	815.177988	804.006291	19.874983	882.105551	808.727674	804.462748	755.961420	Paraplacodus_broilii	
3	8	1.761000	684	3.420000	1.213210	0.985264	1.000000	1.736817	118.204923	96.986937	98.233241	169.231816	171.598690	175.286202	172.883973	4.273680	208.158870	170.793995	172.988738	298.017228	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
4	2	0.610000	1494	7.470000	1.508885	0.993768	1.000000	2.673985	146.997459	99.905696	98.344107	260.842339	59.440773	60.718105	59.885987	1.480378	89.668450	60.942475	59.989905	159.113827	Placodus_gigas,Placodus_inexpectatus	
5	1	4.194372	1095	5.475000	1.237727	0.997129	1.000000	1.671153	120.600924	96.476649	98.283413	163.050181	408.715924	417.498885	411.777226	10.179106	505.845137	404.658955	412.237198	683.893113	Placodus_gigas	
6	1	0.500154	1230	6.150000	1.320101	0.950950	1.000000	2.381936	128.576531	89.725307	98.292815	230.918184	48.736951	49.784267	49.101994	1.213798	64.308066	44.876471	49.161545	115.494654	Placodus_inexpectatus	
7	6	5.719000	472	2.360000	1.049190	1.004264	1.000000	0.720118	102.241334	98.089016	98.190024	70.525958	557.281607	569.257120	561.455673	13.879147	584.718190	560.971085	561.548750	403.337955	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
8	2	4.152000	887	4.435000	1.070534	1.012055	1.000000	0.804193	104.332525	99.371255	98.186920	78.766696	404.587031	413.281266	407.617408	10.076276	433.188646	412.589452	407.672092	327.039320	Cyamodus_orientalis,Sinocyamodus_xinpuensis	
9	1	7.702504	832	4.160000	1.044639	0.999726	1.000000	0.640311	101.773751	97.817679	98.181969	62.010636	750.561953	766.690898	756.183698	18.692811	783.912724	753.441067	756.247009	477.637170	Cyamodus_orientalis	
10	1	6.355563	865	4.325000	1.052910	1.006851	1.000000	0.734244	102.595921	99.789739	98.187796	71.602974	619.310782	632.619250	623.949450	15.423989	652.054838	634.219975	624.038726	455.077211	Sinocyamodus_xinpuensis	
11	4	1.208000	722	3.610000	1.105909	0.988150	1.000000	1.176679	107.744224	96.577268	98.210212	114.341069	117.712219	120.241756	118.593889	2.931633	130.155022	116.665340	118.637936	138.124011	Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum	
12	1	4.555208	844	4.220000	1.113321	0.993133	1.000000	1.010615	108.484984	98.860366	98.232369	98.634900	443.877187	453.415735	447.201849	11.054800	494.171665	450.329532	447.468873	449.302485	Henodus_chelyops	
13	3	3.135000	1240	6.200000	1.247696	0.988790	1.000000	1.690497	121.593230	100.122271	98.279537	165.072145	305.486595	312.051245	307.774705	7.608170	381.194775	313.883320	308.106347	517.501176	Glyphoderma_kangi,Psephochelys_polyosteoderma,Psephoderma_alpinum	
14	1	5.286874	1003	5.015000	1.096817	0.993172	1.000000	0.833557	106.854841	98.477692	98.232701	80.863269	515.173569	526.244215	519.032244	12.830443	564.928079	520.639151	519.343913	427.513915	Glyphoderma_kangi	
15	2	8.508000	1178	5.890000	1.086990	1.012291	1.000000	0.763534	105.928124	96.902235	98.230293	74.728453	829.052616	846.868260	835.262261	20.647628	901.236480	824.444217	835.743333	635.789675	Psephochelys_polyosteoderma,Psephoderma_alpinum	
