Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	79	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Cyamodus_orientalis,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Glyphoderma_kangi,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Henodus_chelyops,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Paraplacodus_broilii,Peloneustes_philarchus,Placodus_gigas,Placodus_inexpectatus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Psephochelys_polyosteoderma,Psephoderma_alpinum,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Sinocyamodus_xinpuensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
1	9	8.171000	267	1.335000	1.028685	0.998697	1.000000	0.513289	100.319074	99.367464	98.230331	50.118640	796.804899	813.572131	802.550570	19.522606	819.707154	811.931551	802.640031	409.519406	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Paraplacodus_broilii,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
2	1	9.692851	371	1.855000	1.036063	0.995687	1.000000	0.497998	101.049625	99.639299	98.236882	49.045027	945.210031	965.100164	952.025835	23.158696	979.458957	965.788882	952.195460	475.386142	Paraplacodus_broilii	
3	8	5.990000	488	2.440000	1.068401	1.013098	1.000000	0.747050	104.189628	98.568814	98.262190	72.810323	584.122059	596.413788	588.334098	14.311640	624.095870	590.427198	588.590518	436.133836	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
4	2	0.295000	1719	8.595000	1.653771	0.982312	1.000000	3.198851	161.425612	96.725813	98.416371	312.978312	28.767280	29.372632	28.974718	0.704830	47.620556	28.534115	29.032829	92.328602	Placodus_gigas,Placodus_inexpectatus	
5	1	1.607025	1498	7.490000	1.436841	0.997701	1.000000	2.396508	140.189918	96.310475	98.393834	234.559138	156.710977	160.008659	157.841002	3.839593	225.288703	154.773341	158.121351	376.942398	Placodus_gigas	
6	1	0.450699	1326	6.630000	1.363309	0.969748	1.000000	2.312218	132.995024	97.390562	98.357095	225.265393	43.950455	44.875309	44.267377	1.076835	59.940724	43.893829	44.329445	101.526888	Placodus_inexpectatus	
7	6	5.959000	571	2.855000	1.075214	1.003966	1.000000	0.787425	104.877262	98.039987	98.269170	77.246690	581.099057	593.327173	585.289297	14.237573	624.963606	584.220285	585.585984	460.313026	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
8	2	2.949000	921	4.605000	1.072850	0.996958	1.000000	0.783742	104.626841	99.737672	98.252902	76.460895	287.575284	293.626755	289.648958	7.045914	308.544554	294.126394	289.747807	225.483179	Cyamodus_orientalis,Sinocyamodus_xinpuensis	
9	1	8.503355	878	4.390000	1.045394	1.008143	1.000000	0.587681	101.964047	97.979985	98.231539	57.807001	829.214897	846.664135	835.194273	20.316687	867.036488	833.158599	835.297648	491.553454	Cyamodus_orientalis	
