Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	79	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Cyamodus_orientalis,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Glyphoderma_kangi,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Henodus_chelyops,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Paraplacodus_broilii,Peloneustes_philarchus,Placodus_gigas,Placodus_inexpectatus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Psephochelys_polyosteoderma,Psephoderma_alpinum,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Sinocyamodus_xinpuensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
1	9	5.241000	306	1.530000	1.038036	1.006971	1.000000	0.572795	100.691873	99.633242	97.835747	55.954801	508.301828	521.056500	512.701236	14.812571	527.726109	522.177821	512.757150	293.259112	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Paraplacodus_broilii,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
2	1	7.824802	529	2.645000	1.081494	1.003861	1.000000	0.775925	104.926561	98.876673	97.879424	75.931142	758.893562	777.936261	765.461870	22.115137	821.029564	773.690390	765.887109	594.146156	Paraplacodus_broilii	
3	8	0.401000	622	3.110000	1.175575	0.996637	1.000000	1.602844	113.948533	98.725494	97.888171	154.639971	38.891248	39.867135	39.227856	1.133341	45.693362	39.588923	39.253157	62.010628	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
4	2	0.085000	1102	5.510000	1.293798	0.984151	1.000000	2.045420	125.552844	97.510395	97.929059	199.101067	8.243781	8.450640	8.315132	0.240234	10.671992	8.288384	8.323970	16.923591	Placodus_gigas,Placodus_inexpectatus	
5	1	5.773619	1018	5.090000	1.175994	0.996153	1.000000	1.264623	114.085794	98.988161	97.921395	123.161531	559.958232	574.009103	564.804732	16.317905	658.687908	571.519928	565.360827	711.087755	Placodus_gigas	
6	1	2.175721	993	4.965000	1.174754	1.003186	1.000000	1.376717	113.950060	97.501424	97.907279	133.684954	211.013730	216.308638	212.840078	6.149212	247.923538	212.135896	213.018922	290.861163	Placodus_inexpectatus	
7	6	11.726000	448	2.240000	1.023942	1.005653	1.000000	0.414901	99.303142	98.202475	97.829838	40.254256	1137.253813	1165.790597	1147.096870	33.141043	1164.428638	1151.522223	1147.152680	472.021404	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
8	2	0.659000	1048	5.240000	1.136279	1.004824	1.000000	1.323966	110.204195	99.566338	97.859522	128.776673	63.913548	65.517312	64.466727	1.862523	72.624564	65.614216	64.489425	84.863828	Cyamodus_orientalis,Sinocyamodus_xinpuensis	
9	1	3.840868	923	4.615000	1.064842	1.011686	1.000000	0.878347	103.290884	98.449728	97.824125	85.774748	372.509106	381.856371	375.733214	10.855396	396.726651	378.132409	375.729549	329.449483	Cyamodus_orientalis	
