Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	79	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Cyamodus_orientalis,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Glyphoderma_kangi,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Henodus_chelyops,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Paraplacodus_broilii,Peloneustes_philarchus,Placodus_gigas,Placodus_inexpectatus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Psephochelys_polyosteoderma,Psephoderma_alpinum,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Sinocyamodus_xinpuensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
1	9	6.207000	223	1.115000	1.015692	1.005942	1.000000	0.326954	98.529375	98.924742	97.843959	31.978114	602.114349	617.265267	607.270460	17.490891	611.571831	614.025876	607.317457	198.488153	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Paraplacodus_broilii,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
2	1	7.576261	365	1.825000	1.032209	0.989324	1.000000	0.417147	100.130605	97.995956	97.874679	40.798192	734.940464	753.433667	741.234011	21.349372	758.615600	742.442937	741.524117	309.097753	Paraplacodus_broilii	
3	8	0.289000	532	2.660000	1.151567	1.021160	1.000000	1.532534	111.742983	99.381210	97.894793	149.569972	28.034646	28.740078	28.274716	0.814382	32.293722	28.721170	28.291595	43.225722	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
4	2	0.465000	1009	5.045000	1.249157	1.006817	1.000000	1.911215	121.161307	97.673738	97.941386	185.403592	45.107648	46.242686	45.493920	1.310337	56.340008	45.418288	45.542745	86.212670	Placodus_gigas,Placodus_inexpectatus	
5	1	4.184074	744	3.720000	1.073799	1.006514	1.000000	0.774964	104.169452	97.402086	97.893438	75.265203	405.879006	416.092082	409.354687	11.790427	435.852695	407.537537	409.593387	314.915181	Placodus_gigas	
6	1	0.548503	941	4.705000	1.186297	1.012304	1.000000	1.499890	115.060752	97.318118	97.937778	145.440594	53.207915	54.546778	53.663552	1.545643	63.111168	53.379279	53.719165	79.774602	Placodus_inexpectatus	
7	6	11.940000	353	1.765000	1.013177	1.016136	1.000000	0.565366	98.289554	96.530746	97.844213	55.171992	1158.247999	1187.392829	1168.166473	33.646083	1173.577269	1152.577110	1168.259909	658.753588	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
8	2	0.991000	911	4.555000	1.083374	0.993569	1.000000	1.040310	105.101457	99.700619	97.848810	101.031961	96.132644	98.551616	96.955861	2.792569	104.155544	98.803314	96.968171	100.122673	Cyamodus_orientalis,Sinocyamodus_xinpuensis	
9	1	5.927189	843	4.215000	1.028287	1.004249	1.000000	0.509026	99.769004	97.971230	97.820743	49.819044	574.971089	589.439004	579.894763	16.702403	591.349745	580.693996	579.802035	295.286891	Cyamodus_orientalis	
10	1	3.886059	851	4.255000	1.036899	1.005280	1.000000	0.574386	100.585448	99.945112	97.826440	55.766790	376.969854	386.455493	380.197976	10.950642	390.880986	388.392603	380.159318	216.713035	Sinocyamodus_xinpuensis	
11	4	0.157000	833	4.165000	1.156588	0.989814	1.000000	1.414504	112.177106	96.313778	97.915794	136.505100	15.229894	15.613122	15.360313	0.442415	17.611806	15.121263	15.372780	21.431301	Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum	
12	1	1.386391	3463	17.315000	2.288965	0.992835	1.000000	4.059881	221.921041	96.663941	98.391155	393.534004	134.487823	137.871921	135.639488	3.906753	307.669333	134.014018	136.408612	545.592001	Henodus_chelyops	
13	3	0.160000	2039	10.195000	1.984289	0.978418	1.000000	4.415427	192.588171	95.655361	98.088900	429.501736	15.520911	15.911462	15.653822	0.450869	30.814107	15.304858	15.694224	68.720278	Glyphoderma_kangi,Psephochelys_polyosteoderma,Psephoderma_alpinum	
14	1	0.325659	1982	9.910000	1.662913	0.974714	1.000000	3.083112	161.216544	98.297733	98.086527	298.771352	31.590778	32.385692	31.861300	0.917684	52.501619	32.011541	31.942760	97.297580	Glyphoderma_kangi	
15	2	2.102000	1304	6.520000	1.088573	1.012123	1.000000	0.956394	105.634571	98.518566	97.858026	93.227336	203.905971	209.036828	205.652088	5.923289	222.043867	207.086026	205.697572	195.963861	Psephochelys_polyosteoderma,Psephoderma_alpinum	
16	1	2.731471	1340	6.700000	1.079268	0.991244	1.000000	0.847444	104.734027	99.592868	97.867308	83.040706	264.968243	271.635601	267.237257	7.697094	286.077958	272.035030	267.321714	226.823279	Psephochelys_polyosteoderma	
17	1	27.691047	1167	5.835000	1.012434	0.989348	1.000000	0.351262	98.228053	97.923634	97.811462	34.538633	2686.189260	2753.781460	2709.192018	78.031430	2720.037620	2711.607956	2708.501778	956.410909	Psephoderma_alpinum	
18	70	2.659000	281	1.405000	1.040723	0.993758	1.000000	0.586739	100.960756	99.981338	97.874648	57.265037	257.938143	264.428604	260.146956	7.492876	268.454649	265.850377	260.248688	152.267733	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Peloneustes_philarchus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
19	19	3.532000	1216	6.080000	1.353185	1.011860	1.000000	1.961307	131.270560	99.461478	98.018102	190.421650	342.624115	351.245517	345.558122	9.952928	463.647618	351.297941	346.199936	672.569267	Ceresiosaurus_calcagnii,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Keichousaurus_hui,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Qianxisaurus_chajiangensis,Serpianosaurus_mirigiolensis,Wumengosaurus_delicatomandibularis	
20	1	3.189805	600	3.000000	1.090174	0.995815	1.000000	0.902685	105.752889	99.015327	97.904659	87.681117	309.429251	317.215375	312.079000	8.988647	337.331095	315.839586	312.296769	279.685667	Wumengosaurus_delicatomandibularis	
21	18	0.040000	924	4.620000	1.275208	0.973406	1.000000	2.276092	123.699267	96.651129	97.899123	220.335764	3.880228	3.977865	3.913456	0.112717	4.947971	3.866045	3.915965	8.813431	Ceresiosaurus_calcagnii,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Keichousaurus_hui,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Qianxisaurus_chajiangensis,Serpianosaurus_mirigiolensis	
22	1	0.310528	1151	5.755000	1.262773	0.978301	1.000000	1.991146	122.431073	100.230534	97.932687	192.300709	30.122984	30.880965	30.380938	0.875046	38.018276	31.124387	30.410841	59.714754	Dactylosaurus_schroederi	
