Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	79	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Cyamodus_orientalis,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Glyphoderma_kangi,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Henodus_chelyops,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Paraplacodus_broilii,Peloneustes_philarchus,Placodus_gigas,Placodus_inexpectatus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Psephochelys_polyosteoderma,Psephoderma_alpinum,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Sinocyamodus_xinpuensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
1	9	2.337000	308	1.540000	1.032583	0.996844	1.000000	0.529586	100.872564	99.437403	98.333290	51.857966	228.305680	232.737576	229.780492	5.106362	235.739183	232.385211	229.804899	121.192066	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Paraplacodus_broilii,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
2	1	3.486622	424	2.120000	1.044307	0.999980	1.000000	0.587880	102.014467	100.027634	98.342365	57.463541	340.614294	347.226338	342.814600	7.618294	355.685886	348.758549	342.882655	200.353646	Paraplacodus_broilii	
3	8	1.003000	621	3.105000	1.163771	0.976211	1.000000	1.509528	113.723980	99.118787	98.363163	148.204285	97.984851	99.886944	98.617815	2.191562	114.065152	99.416144	98.658253	148.648898	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
4	2	0.223000	1028	5.140000	1.252277	0.968422	1.000000	1.975686	122.385116	94.080053	98.391079	193.477536	21.785266	22.208164	21.925995	0.487257	27.291881	20.979852	21.941211	43.145491	Placodus_gigas,Placodus_inexpectatus	
5	1	5.473118	823	4.115000	1.082508	1.014629	1.000000	0.789307	105.754425	98.310689	98.365551	77.341526	534.678616	545.057859	538.132541	11.958802	578.806445	538.066001	538.366265	423.299299	Placodus_gigas	
6	1	2.984720	851	4.255000	1.088441	1.008195	1.000000	0.856052	106.328037	100.104028	98.359606	83.866817	291.582597	297.242832	293.466166	6.521635	317.359419	298.782494	293.575882	250.318967	Placodus_inexpectatus	
7	6	6.353000	442	2.210000	1.010177	0.997725	1.000000	0.290539	98.687363	98.823568	98.312648	28.567941	620.635851	632.683706	624.645044	13.881351	626.960818	627.826130	624.580256	181.492130	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
8	2	2.318000	894	4.470000	1.043817	0.992289	1.000000	0.685956	101.975588	99.868103	98.310057	67.213103	226.449536	230.845401	227.912358	5.064847	236.379412	231.494262	227.882711	155.799973	Cyamodus_orientalis,Sinocyamodus_xinpuensis	
9	1	5.265719	850	4.250000	1.016292	1.008895	1.000000	0.406122	99.284356	98.244132	98.299131	39.796539	514.417439	524.403370	517.740481	11.505634	522.803519	517.325994	517.615602	209.557390	Cyamodus_orientalis	
10	1	7.024350	851	4.255000	1.011122	0.993566	1.000000	0.344348	98.782687	98.494425	98.297806	33.771043	686.221225	699.542230	690.654087	15.348256	693.884165	691.859311	690.478194	237.219629	Sinocyamodus_xinpuensis	
11	4	1.923000	680	3.400000	1.052907	1.004811	1.000000	0.687064	102.862606	97.880620	98.328922	67.251424	187.861285	191.508070	189.074834	4.201769	197.804791	188.224433	189.086517	129.324489	Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum	
12	1	1.954110	1417	7.085000	1.313898	0.974681	1.000000	1.825105	128.373489	98.194663	98.428961	178.683478	190.900476	194.606258	192.133658	4.269744	250.855920	191.883173	192.341018	349.167172	Henodus_chelyops	
13	3	0.645000	1495	7.475000	1.404777	0.977223	1.000000	2.855868	137.237869	89.885110	98.405119	280.978072	63.011195	64.234376	63.418236	1.409330	88.518426	57.975896	63.471302	181.230857	Glyphoderma_kangi,Psephochelys_polyosteoderma,Psephoderma_alpinum	
14	1	1.469921	1044	5.220000	1.098161	0.987640	1.000000	1.027152	107.287433	98.060527	98.338994	100.623057	143.599193	146.386757	144.526817	3.211788	157.704051	144.141228	144.550552	147.907944	Glyphoderma_kangi	
15	2	0.285000	1432	7.160000	1.177038	0.990781	1.000000	1.653104	114.999810	98.380805	98.333832	161.412799	27.842156	28.382631	28.022011	0.622727	32.774946	28.038529	28.025142	46.002648	Psephochelys_polyosteoderma,Psephoderma_alpinum	
16	1	1.700311	1426	7.130000	1.110942	0.989770	1.000000	1.110056	108.526562	99.813132	98.330461	108.622623	166.106401	169.330877	167.179417	3.715192	184.528908	169.713367	167.192364	184.692241	Psephochelys_polyosteoderma	
17	1	27.863005	1212	6.060000	0.994509	0.991986	1.000000	0.306279	97.156523	98.686270	98.254610	30.070324	2721.986435	2774.825950	2739.569964	60.880867	2707.072681	2749.696027	2737.668690	837.849591	Psephoderma_alpinum	
