Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
0	79	0.000000	0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Cyamodus_orientalis,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Glyphoderma_kangi,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Henodus_chelyops,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Paraplacodus_broilii,Peloneustes_philarchus,Placodus_gigas,Placodus_inexpectatus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Psephochelys_polyosteoderma,Psephoderma_alpinum,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Sinocyamodus_xinpuensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
1	9	11.188000	279	1.395000	1.022352	1.004228	1.000000	0.408083	99.384239	99.843140	97.990261	40.125761	1087.474619	1112.864644	1096.160724	29.565671	1111.910868	1117.045051	1096.315034	448.927018	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Paraplacodus_broilii,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
2	1	5.883317	1193	5.965000	1.297980	1.011751	1.000000	1.648186	126.166029	97.648266	98.137483	160.372876	571.858948	585.210536	576.426620	15.547391	742.274741	574.495701	577.373919	943.524468	Paraplacodus_broilii	
3	8	0.223000	700	3.500000	1.289004	0.993877	1.000000	2.377605	125.231244	92.718029	98.050653	230.201915	21.675620	22.181696	21.848752	0.589305	27.926567	20.676120	21.865296	51.335027	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Placodus_gigas,Placodus_inexpectatus,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
4	2	0.118000	1709	8.545000	1.738545	0.994418	1.000000	3.548689	168.911953	91.205027	98.221181	344.337131	11.469611	11.737400	11.561223	0.311830	19.931610	10.762193	11.590099	40.631781	Placodus_gigas,Placodus_inexpectatus	
5	1	3.234334	1430	7.150000	1.466019	1.017057	1.000000	2.532125	142.431460	98.735346	98.162462	245.794034	314.377559	321.717551	316.888622	8.547127	460.670915	319.343088	317.490187	794.980000	Placodus_gigas	
6	1	0.446025	1519	7.595000	1.565747	0.933606	1.000000	4.107255	152.221930	91.006030	98.160436	402.384125	43.353671	44.365879	43.699954	1.178676	67.894786	40.590965	43.782008	179.473379	Placodus_inexpectatus	
7	6	7.019000	511	2.555000	1.049945	1.014563	1.000000	0.673668	102.079580	97.497251	98.001945	65.972620	682.247439	698.176344	687.696829	18.548574	716.496574	684.333208	687.875648	463.061822	Cyamodus_orientalis,Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum,Sinocyamodus_xinpuensis	
8	2	0.751000	1020	5.100000	1.133907	0.982238	1.000000	1.368805	110.200682	100.101071	98.003650	132.763649	72.997268	74.701586	73.580327	1.984610	82.760712	75.175904	73.600741	99.705501	Cyamodus_orientalis,Sinocyamodus_xinpuensis	
9	1	8.232912	861	4.305000	1.038461	0.994935	1.000000	0.600002	100.950075	98.277896	97.974051	58.538263	800.239796	818.923551	806.631639	21.756486	831.113087	809.113273	806.611740	481.940371	Cyamodus_orientalis	
10	1	5.114006	888	4.440000	1.043555	1.011784	1.000000	0.655444	101.439762	99.042946	97.978755	63.757989	497.081849	508.687564	501.052245	13.514392	518.763549	506.506220	501.063938	326.058738	Sinocyamodus_xinpuensis	
11	4	0.084000	842	4.210000	1.165382	1.016191	1.000000	1.483861	113.244064	96.420663	98.039255	143.854548	8.164808	8.355437	8.230023	0.221980	9.512501	8.099336	8.235297	12.083782	Glyphoderma_kangi,Henodus_chelyops,Psephochelys_polyosteoderma,Psephoderma_alpinum	
12	1	7.004070	767	3.835000	1.074052	0.996706	1.000000	0.744979	104.406125	99.310862	98.020907	72.581488	680.796242	696.691265	686.234040	18.509119	731.267811	695.580226	686.545294	508.365826	Henodus_chelyops	
13	3	1.963000	1330	6.650000	1.279861	1.013605	1.000000	1.895382	124.380596	99.519600	98.086837	184.054303	190.803779	195.258607	192.327807	5.187470	244.159110	195.356974	192.544461	361.298596	Glyphoderma_kangi,Psephochelys_polyosteoderma,Psephoderma_alpinum	
14	1	5.573728	932	4.660000	1.065455	0.991613	1.000000	0.761151	103.574359	99.355238	98.009950	74.286256	541.766869	554.415877	546.094183	14.729264	577.295306	553.779071	546.280800	414.051387	Glyphoderma_kangi	
15	2	2.219000	1466	7.330000	1.174030	1.001925	1.000000	1.317891	114.139192	97.398351	98.066599	128.592648	215.687002	220.722796	217.409782	5.863981	253.274867	216.126941	217.609783	285.347086	Psephochelys_polyosteoderma,Psephoderma_alpinum	
16	1	1.274758	1643	8.215000	1.255384	1.002830	1.000000	1.696316	121.972825	100.095708	98.087220	164.144882	123.906594	126.799527	124.896286	3.368705	155.485835	127.597805	125.037468	209.245002	Psephochelys_polyosteoderma	
17	1	27.663862	1117	5.585000	1.027428	1.001409	1.000000	0.381015	99.878314	99.729350	97.983977	37.331306	2688.929906	2751.710221	2710.407490	73.105169	2763.019891	2758.898984	2710.615218	1032.728091	Psephoderma_alpinum	
18	70	0.890000	312	1.560000	1.075063	1.008114	1.000000	0.982824	104.478949	97.215797	98.005188	95.054792	86.508081	88.527845	87.199057	2.351935	92.986264	86.522059	87.224617	84.598765	Albertonectes_vanderveldei,Archaeonectrus_rostratus,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Avalonnectes_arturi,Bobosaurus_forojuliensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Ceresiosaurus_calcagnii,Colymbosaurus_trochanterius,Corosaurus_alcovensis,Cryptoclidus_eurymerus,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Dolichorhynchops_osborni,Elasmosaurus_platyurus,Eopleiosaurus_antiquior,Hauffiosaurus_longirostris,Hauffiosaurus_tomistomimus,Hauffiosaurus_zanoni,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Keichousaurus_hui,Kronosaurus_boyacensis,Kronosaurus_queenslandicus,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Libonectes_atlasense,Lindwurmia_thiuda,Liopleurodon_ferox,Luskhan_itilensis,Macroplata_tenuiceps,Manemergus_anguirostris,Meyerasaurus_victor,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_sp,Microcleidus_tournemirensis,Morenosaurus_stocki,Muraenosaurus_leedsii,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nichollssaura_borealis,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Peloneustes_philarchus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Plesiosaurus_sp,Polycotylus_latipinnis,Qianxisaurus_chajiangensis,Rhomaleosaurus_cramptoni,Rhomaleosaurus_megacephalus,Rhomaleosaurus_zetlandicus,Sachicasaurus_vitae,Seelyosaurus_guilelmiimperatori,Serpianosaurus_mirigiolensis,Styxosaurus_sp,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Trinacromerum_bentonianum,Wangosaurus_brevirostris,Wumengosaurus_delicatomandibularis,Yunguisaurus_liae	
19	19	9.243000	632	3.160000	1.115231	0.996539	1.000000	0.998292	108.427424	99.112629	98.044553	97.316055	898.420442	919.396488	905.596494	24.425768	1002.194679	916.098028	906.225803	899.492292	Ceresiosaurus_calcagnii,Dactylosaurus_schroederi,Diandongosaurus_acutidentatus,Dianmeisaurus_gracilis,Dianopachysaurus_dingi,Keichousaurus_hui,Lariosaurus_balsami,Lariosaurus_valceresii,Lariosaurus_xingyiensis,Neusticosaurus_edwardsii,Neusticosaurus_peyeri,Neusticosaurus_pusillus,Nothosaurus_giganteus,Nothosaurus_marchicus,Nothosaurus_youngi,Panzhousaurus_rotundirostris,Qianxisaurus_chajiangensis,Serpianosaurus_mirigiolensis,Wumengosaurus_delicatomandibularis	
